#Frequency response,,,,,,,,,,,,
#J column is FBG's FFT value;,,,,,,,,,,,,
#K column is piezo's FFT value;,,,,,,,,,,,,
#L column is FBG's sensitivity obtained by FBG FFT(J column) divided by Piezo FFT(K column) ;,,,,,,,,,,,,
#M coumn is 2 times of L column;,,,,,,,,,,,,
Piezo(V),FBG(pm),,,,,,,,,,,
,,B-1536638,A-0.758,,,,,,,,,
0.351,1535699,-939,-0.407,,,,,,,,,
0.27,1535671,-967,-0.488,,,,,,,,,
0.215,1535667,-971,-0.543,,,,,,,,,
0.155,1535696,-942,-0.603,,,,,,,,,
0.113,1535759,-879,-0.645,,,,,,,,,
0.074,1535847,-791,-0.684,,,,,,,,,
0.043,1535957,-681,-0.715,,,,,,,,,
0.03,1536070,-568,-0.728,,,,,,,,,
0.037,1536189,-449,-0.721,,,,,,,,,
0.051,1536291,-347,-0.707,,,,,,,,,
0.08,1536383,-255,-0.678,,,,,,,,,
0.117,1536460,-178,-0.641,,,,,,,,,
0.173,1536534,-104,-0.585,,,,,,,,,
0.226,1536604,-34,-0.532,,,,,,,,,
0.29,1536693,55,-0.468,,,,,,,,,
0.354,1536797,159,-0.404,,,,,,,,,
0.431,1536874,236,-0.327,,,,,,,,,
0.506,1536946,308,-0.252,,,,,,,,,
0.601,1536984,346,-0.157,,,,,,,,,
0.684,1537011,373,-0.074,,,,,,,,,
0.771,1537040,402,0.013,,,,,,,,,
0.85,1537088,450,0.092,,,,,,,,,
0.938,1537145,507,0.18,,,,,,,,,
1.036,1537196,558,0.278,,,,,,,,,
1.124,1537223,585,0.366,,,,,,,,,
1.203,1537223,585,0.445,,,,,,,,,
1.269,1537205,567,0.511,,,,,,,,,
1.311,1537191,553,0.553,,,,,,,,,
1.362,1537180,542,0.604,,,,,,,,,
1.39,1537166,528,0.632,,,,,,,,,
1.416,1537141,503,0.658,,,,,,,,,
1.436,1537105,467,0.678,,,,,,,,,
1.442,1537055,417,0.684,,,,,,,,,
1.442,1536997,359,0.684,,,,,,,,,
1.436,1536940,302,0.678,,,,,,,,,
1.417,1536883,245,0.659,,,,,,,,,
1.396,1536822,184,0.638,,,,,,,,,
1.351,1536748,110,0.593,,,,,,,,,
1.317,1536654,16,0.559,,,,,,,,,
1.263,1536554,-84,0.505,,,,,,,,,
1.183,1536444,-194,0.425,,,,,,,,,
1.106,1536339,-299,0.348,,,,,,,,,
1.013,1536238,-400,0.255,,,,,,,,,
0.931,1536143,-495,0.173,,,,,,,,,
0.836,1536049,-589,0.078,,,,,,,,,
0.73,1535966,-672,-0.028,,,,,,,,,
0.636,1535892,-746,-0.122,,,,,,,,,
0.549,1535832,-806,-0.209,,,,,,,,,
0.474,1535785,-853,-0.284,,,,,,,,,
0.407,1535751,-887,-0.351,,,,,,,,,
0.333,1535731,-907,-0.425,,,,,,,,,
0.258,1535733,-905,-0.5,,,,,,,,,
0.206,1535763,-875,-0.552,,,,,,,,,
0.152,1535828,-810,-0.606,,,,,,,,,
0.118,1535910,-728,-0.64,,,,,,,,,
0.085,1536003,-635,-0.673,,,,,,,,,
0.063,1536098,-540,-0.695,,,,,,,,,
0.059,1536183,-455,-0.699,,,,,,,,,
0.069,1536251,-387,-0.689,,,,,,,,,
0.098,1536309,-329,-0.66,,,,,,,,,
0.126,1536374,-264,-0.632,,,,,,,,,
0.171,1536435,-203,-0.587,,,,,,,,,
0.224,1536520,-118,-0.534,,,,,,,,,
0.284,1536606,-32,-0.474,,,,,,,,,
0.339,1536689,51,-0.419,,,,,,,,,
0.41,1536760,122,-0.348,,,,,,,,,
0.485,1536802,164,-0.273,,,,,,,,,
0.551,1536837,199,-0.207,,,,,,,,,
0.614,1536873,235,-0.144,,,,,,,,,
0.697,1536922,284,-0.061,,,,,,,,,
0.77,1536982,344,0.012,,,,,,,,,
0.842,1537043,405,0.084,,,,,,,,,
0.91,1537088,450,0.152,,,,,,,,,
0.989,1537113,475,0.231,,,,,,,,,
1.071,1537128,490,0.313,,,,,,,,,
1.136,1537140,502,0.378,,,,,,,,,
1.191,1537148,510,0.433,,,,,,,,,
1.225,1537150,512,0.467,,,,,,,,,
1.265,1537147,509,0.507,,,,,,,,,
1.306,1537133,495,0.548,,,,,,,,,
1.333,1537110,472,0.575,,,,,,,,,
1.347,1537079,441,0.589,,,,,,,,,
1.365,1537045,407,0.607,,,,,,,,,
1.377,1537010,372,0.619,,,,,,,,,
1.382,1536967,329,0.624,,,,,,,,,
1.369,1536912,274,0.611,,,,,,,,,
1.358,1536846,208,0.6,,,,,,,,,
1.331,1536770,132,0.573,,,,,,,,,
1.299,1536680,42,0.541,,,,,,,,,
1.256,1536591,-47,0.498,,,,,,,,,
1.18,1536500,-138,0.422,,,,,,,,,
1.117,1536409,-229,0.359,,,,,,,,,
1.031,1536318,-320,0.273,,,,,,,,,
0.957,1536230,-408,0.199,,,,,,,,,
0.872,1536142,-496,0.114,,,,,,,,,
0.783,1536057,-581,0.025,,,,,,,,,
0.693,1535984,-654,-0.065,,,,,,,,,
0.612,1535929,-709,-0.146,,,,,,,,,
0.542,1535890,-748,-0.216,,,,,,,,,
0.474,1535870,-768,-0.284,,,,,,,,,
0.404,1535865,-773,-0.354,,,,,,,,,
0.34,1535871,-767,-0.418,,,,,,,,,
0.268,1535883,-755,-0.49,,,,,,,,,
0.223,1535914,-724,-0.535,,,,,,,,,
0.177,1535962,-676,-0.581,,,,,,,,,
0.153,1536020,-618,-0.605,,,,,,,,,
0.122,1536090,-548,-0.636,,,,,,,,,
0.11,1536165,-473,-0.648,,,,,,,,,
0.124,1536239,-399,-0.634,,,,,,,,,
0.138,1536312,-326,-0.62,,,,,,,,,
0.165,1536384,-254,-0.593,,,,,,,,,
0.197,1536450,-188,-0.561,,,,,,,,,
0.244,1536516,-122,-0.514,,,,,,,,,
0.294,1536582,-56,-0.464,,,,,,,,,
0.349,1536645,7,-0.409,,,,,,,,,
0.406,1536710,72,-0.352,,,,,,,,,
0.463,1536773,135,-0.295,,,,,,,,,
0.523,1536824,186,-0.235,,,,,,,,,
0.594,1536861,223,-0.164,,,,,,,,,
0.659,1536888,250,-0.099,,,,,,,,,
0.731,1536920,282,-0.027,,,,,,,,,
0.79,1536966,328,0.032,,,,,,,,,
0.857,1537021,383,0.099,,,,,,,,,
0.928,1537070,432,0.17,,,,,,,,,
1.004,1537100,462,0.246,,,,,,,,,
1.067,1537110,472,0.309,,,,,,,,,
1.115,1537107,469,0.357,,,,,,,,,
1.158,1537107,469,0.4,,,,,,,,,
1.202,1537108,470,0.444,,,,,,,,,
1.246,1537104,466,0.488,,,,,,,,,
1.273,1537092,454,0.515,,,,,,,,,
1.291,1537066,428,0.533,,,,,,,,,
1.312,1537034,396,0.554,,,,,,,,,
1.332,1536998,360,0.574,,,,,,,,,
1.341,1536962,324,0.583,,,,,,,,,
1.339,1536918,280,0.581,,,,,,,,,
1.324,1536866,228,0.566,,,,,,,,,
1.305,1536799,161,0.547,,,,,,,,,
1.281,1536717,79,0.523,,,,,,,,,
1.238,1536629,-9,0.48,,,,,,,,,
1.186,1536543,-95,0.428,,,,,,,,,
1.123,1536456,-182,0.365,,,,,,,,,
1.052,1536375,-263,0.294,,,,,,,,,
0.978,1536294,-344,0.22,,,,,,,,,
0.899,1536216,-422,0.141,,,,,,,,,
0.816,1536141,-497,0.058,,,,,,,,,
0.742,1536073,-565,-0.016,,,,,,,,,
0.66,1536017,-621,-0.098,,,,,,,,,
0.595,1535978,-660,-0.163,,,,,,,,,
0.524,1535956,-682,-0.234,,,,,,,,,
0.464,1535949,-689,-0.294,,,,,,,,,
0.4,1535954,-684,-0.358,,,,,,,,,
0.344,1535969,-669,-0.414,,,,,,,,,
0.284,1535990,-648,-0.474,,,,,,,,,
0.241,1536021,-617,-0.517,,,,,,,,,
0.204,1536062,-576,-0.554,,,,,,,,,
0.187,1536112,-526,-0.571,,,,,,,,,
0.164,1536169,-469,-0.594,,,,,,,,,
0.171,1536234,-404,-0.587,,,,,,,,,
0.182,1536304,-334,-0.576,,,,,,,,,
0.21,1536375,-263,-0.548,,,,,,,,,
0.228,1536443,-195,-0.53,,,,,,,,,
0.265,1536508,-130,-0.493,,,,,,,,,
0.304,1536565,-73,-0.454,,,,,,,,,
0.362,1536619,-19,-0.396,,,,,,,,,
0.408,1536671,33,-0.35,,,,,,,,,
0.461,1536723,85,-0.297,,,,,,,,,
0.514,1536776,138,-0.244,,,,,,,,,
0.573,1536826,188,-0.185,,,,,,,,,
0.633,1536869,231,-0.125,,,,,,,,,
0.696,1536905,267,-0.062,,,,,,,,,
0.755,1536943,305,-0.003,,,,,,,,,
0.815,1536979,341,0.057,,,,,,,,,
0.877,1537008,370,0.119,,,,,,,,,
0.943,1537028,390,0.185,,,,,,,,,
1.007,1537045,407,0.249,,,,,,,,,
1.062,1537063,425,0.304,,,,,,,,,
1.101,1537076,438,0.343,,,,,,,,,
1.146,1537081,443,0.388,,,,,,,,,
1.187,1537079,441,0.429,,,,,,,,,
1.223,1537067,429,0.465,,,,,,,,,
1.245,1537046,408,0.487,,,,,,,,,
1.265,1537021,383,0.507,,,,,,,,,
1.287,1536992,354,0.529,,,,,,,,,
1.302,1536960,322,0.544,,,,,,,,,
1.304,1536921,283,0.546,,,,,,,,,
1.293,1536871,233,0.535,,,,,,,,,
1.278,1536810,172,0.52,,,,,,,,,
1.257,1536739,101,0.499,,,,,,,,,
1.225,1536659,21,0.467,,,,,,,,,
1.177,1536582,-56,0.419,,,,,,,,,
1.123,1536506,-132,0.365,,,,,,,,,
1.064,1536428,-210,0.306,,,,,,,,,
0.997,1536355,-283,0.239,,,,,,,,,
0.926,1536281,-357,0.168,,,,,,,,,
0.847,1536211,-427,0.089,,,,,,,,,
0.772,1536147,-491,0.014,,,,,,,,,
0.704,1536093,-545,-0.054,,,,,,,,,
0.636,1536052,-586,-0.122,,,,,,,,,
0.569,1536028,-610,-0.189,,,,,,,,,
0.507,1536020,-618,-0.251,,,,,,,,,
0.449,1536023,-615,-0.309,,,,,,,,,
0.401,1536034,-604,-0.357,,,,,,,,,
0.345,1536051,-587,-0.413,,,,,,,,,
0.299,1536074,-564,-0.459,,,,,,,,,
0.262,1536106,-532,-0.496,,,,,,,,,
0.241,1536143,-495,-0.517,,,,,,,,,
0.228,1536191,-447,-0.53,,,,,,,,,
0.215,1536243,-395,-0.543,,,,,,,,,
0.227,1536303,-335,-0.531,,,,,,,,,
0.244,1536367,-271,-0.514,,,,,,,,,
0.268,1536425,-213,-0.49,,,,,,,,,
0.292,1536480,-158,-0.466,,,,,,,,,
0.327,1536534,-104,-0.431,,,,,,,,,
0.365,1536584,-54,-0.393,,,,,,,,,
0.419,1536636,-2,-0.339,,,,,,,,,
0.462,1536689,51,-0.296,,,,,,,,,
0.51,1536740,102,-0.248,,,,,,,,,
0.56,1536790,152,-0.198,,,,,,,,,
0.618,1536834,196,-0.14,,,,,,,,,
0.673,1536873,235,-0.085,,,,,,,,,
0.73,1536910,272,-0.028,,,,,,,,,
0.779,1536949,311,0.021,,,,,,,,,
0.834,1536984,346,0.076,,,,,,,,,
0.894,1537012,374,0.136,,,,,,,,,
0.954,1537030,392,0.196,,,,,,,,,
1.01,1537040,402,0.252,,,,,,,,,
1.052,1537044,406,0.294,,,,,,,,,
1.094,1537048,410,0.336,,,,,,,,,
1.131,1537048,410,0.373,,,,,,,,,
1.174,1537043,405,0.416,,,,,,,,,
1.2,1537029,391,0.442,,,,,,,,,
1.22,1537010,372,0.462,,,,,,,,,
1.239,1536989,351,0.481,,,,,,,,,
1.258,1536958,320,0.5,,,,,,,,,
1.266,1536915,277,0.508,,,,,,,,,
1.26,1536865,227,0.502,,,,,,,,,
1.248,1536808,170,0.49,,,,,,,,,
1.231,1536746,108,0.473,,,,,,,,,
1.208,1536680,42,0.45,,,,,,,,,
1.167,1536615,-23,0.409,,,,,,,,,
1.113,1536548,-90,0.355,,,,,,,,,
1.065,1536475,-163,0.307,,,,,,,,,
1.005,1536402,-236,0.247,,,,,,,,,
0.941,1536328,-310,0.183,,,,,,,,,
0.869,1536261,-377,0.111,,,,,,,,,
0.796,1536202,-436,0.038,,,,,,,,,
0.731,1536157,-481,-0.027,,,,,,,,,
0.667,1536121,-517,-0.091,,,,,,,,,
0.608,1536099,-539,-0.15,,,,,,,,,
0.547,1536088,-550,-0.211,,,,,,,,,
0.491,1536088,-550,-0.267,,,,,,,,,
0.443,1536094,-544,-0.315,,,,,,,,,
0.4,1536103,-535,-0.358,,,,,,,,,
0.354,1536119,-519,-0.404,,,,,,,,,
0.315,1536143,-495,-0.443,,,,,,,,,
0.289,1536174,-464,-0.469,,,,,,,,,
0.276,1536214,-424,-0.482,,,,,,,,,
0.266,1536261,-377,-0.492,,,,,,,,,
0.27,1536313,-325,-0.488,,,,,,,,,
0.282,1536367,-271,-0.476,,,,,,,,,
0.3,1536414,-224,-0.458,,,,,,,,,
0.321,1536459,-179,-0.437,,,,,,,,,
0.348,1536506,-132,-0.41,,,,,,,,,
0.381,1536555,-83,-0.377,,,,,,,,,
0.424,1536607,-31,-0.334,,,,,,,,,
0.471,1536661,23,-0.287,,,,,,,,,
0.513,1536713,75,-0.245,,,,,,,,,
0.557,1536758,120,-0.201,,,,,,,,,
0.603,1536795,157,-0.155,,,,,,,,,
0.658,1536828,190,-0.1,,,,,,,,,
0.704,1536865,227,-0.054,,,,,,,,,
0.757,1536905,267,-0.001,,,,,,,,,
0.801,1536944,306,0.043,,,,,,,,,
0.858,1536973,335,0.1,,,,,,,,,
0.909,1536989,351,0.151,,,,,,,,,
0.963,1536994,356,0.205,,,,,,,,,
1.008,1537001,363,0.25,,,,,,,,,
1.048,1537012,374,0.29,,,,,,,,,
1.086,1537028,390,0.328,,,,,,,,,
1.124,1537036,398,0.366,,,,,,,,,
1.155,1537022,384,0.397,,,,,,,,,
1.178,1536994,356,0.42,,,,,,,,,
1.196,1536959,321,0.438,,,,,,,,,
1.213,1536932,294,0.455,,,,,,,,,
1.227,1536907,269,0.469,,,,,,,,,
1.226,1536876,238,0.468,,,,,,,,,
1.218,1536832,194,0.46,,,,,,,,,
1.202,1536771,133,0.444,,,,,,,,,
1.183,1536699,61,0.425,,,,,,,,,
1.151,1536631,-7,0.393,,,,,,,,,
1.11,1536566,-72,0.352,,,,,,,,,
1.059,1536506,-132,0.301,,,,,,,,,
1.01,1536444,-194,0.252,,,,,,,,,
0.951,1536385,-253,0.193,,,,,,,,,
0.886,1536323,-315,0.128,,,,,,,,,
0.819,1536266,-372,0.061,,,,,,,,,
0.755,1536216,-422,-0.003,,,,,,,,,
0.699,1536181,-457,-0.059,,,,,,,,,
0.637,1536156,-482,-0.121,,,,,,,,,
0.581,1536144,-494,-0.177,,,,,,,,,
0.527,1536144,-494,-0.231,,,,,,,,,
0.483,1536150,-488,-0.275,,,,,,,,,
0.442,1536158,-480,-0.316,,,,,,,,,
0.403,1536169,-469,-0.355,,,,,,,,,
0.362,1536187,-451,-0.396,,,,,,,,,
0.33,1536210,-428,-0.428,,,,,,,,,
0.317,1536241,-397,-0.441,,,,,,,,,
0.314,1536280,-358,-0.444,,,,,,,,,
0.31,1536324,-314,-0.448,,,,,,,,,
0.321,1536372,-266,-0.437,,,,,,,,,
0.33,1536415,-223,-0.428,,,,,,,,,
0.353,1536456,-182,-0.405,,,,,,,,,
0.374,1536497,-141,-0.384,,,,,,,,,
0.405,1536540,-98,-0.353,,,,,,,,,
0.435,1536587,-51,-0.323,,,,,,,,,
0.481,1536637,-1,-0.277,,,,,,,,,
0.517,1536686,48,-0.241,,,,,,,,,
0.556,1536728,90,-0.202,,,,,,,,,
0.599,1536765,127,-0.159,,,,,,,,,
0.647,1536798,160,-0.111,,,,,,,,,
0.687,1536828,190,-0.071,,,,,,,,,
0.737,1536859,221,-0.021,,,,,,,,,
0.776,1536895,257,0.018,,,,,,,,,
0.827,1536934,296,0.069,,,,,,,,,
0.875,1536964,326,0.117,,,,,,,,,
0.926,1536975,337,0.168,,,,,,,,,
0.971,1536977,339,0.213,,,,,,,,,
1.011,1536981,343,0.253,,,,,,,,,
1.048,1536988,350,0.29,,,,,,,,,
1.084,1536993,355,0.326,,,,,,,,,
1.117,1536991,353,0.359,,,,,,,,,
1.143,1536981,343,0.385,,,,,,,,,
1.159,1536961,323,0.401,,,,,,,,,
1.175,1536932,294,0.417,,,,,,,,,
1.186,1536897,259,0.428,,,,,,,,,
1.195,1536862,224,0.437,,,,,,,,,
1.186,1536828,190,0.428,,,,,,,,,
1.177,1536785,147,0.419,,,,,,,,,
1.156,1536731,93,0.398,,,,,,,,,
1.135,1536668,30,0.377,,,,,,,,,
1.097,1536601,-37,0.339,,,,,,,,,
1.052,1536535,-103,0.294,,,,,,,,,
1.006,1536472,-166,0.248,,,,,,,,,
0.953,1536417,-221,0.195,,,,,,,,,
0.895,1536368,-270,0.137,,,,,,,,,
0.835,1536321,-317,0.077,,,,,,,,,
0.774,1536281,-357,0.016,,,,,,,,,
0.72,1536247,-391,-0.038,,,,,,,,,
0.664,1536221,-417,-0.094,,,,,,,,,
0.609,1536202,-436,-0.149,,,,,,,,,
0.558,1536195,-443,-0.2,,,,,,,,,
0.514,1536195,-443,-0.244,,,,,,,,,
0.477,1536205,-433,-0.281,,,,,,,,,
0.44,1536219,-419,-0.318,,,,,,,,,
0.409,1536237,-401,-0.349,,,,,,,,,
0.376,1536261,-377,-0.382,,,,,,,,,
0.359,1536287,-351,-0.399,,,,,,,,,
0.353,1536317,-321,-0.405,,,,,,,,,
0.351,1536348,-290,-0.407,,,,,,,,,
0.356,1536382,-256,-0.402,,,,,,,,,
0.365,1536415,-223,-0.393,,,,,,,,,
0.38,1536453,-185,-0.378,,,,,,,,,
0.399,1536494,-144,-0.359,,,,,,,,,
0.423,1536539,-99,-0.335,,,,,,,,,
0.451,1536584,-54,-0.307,,,,,,,,,
0.49,1536628,-10,-0.268,,,,,,,,,
0.526,1536668,30,-0.232,,,,,,,,,
0.56,1536704,66,-0.198,,,,,,,,,
0.602,1536739,101,-0.156,,,,,,,,,
0.639,1536773,135,-0.119,,,,,,,,,
0.68,1536803,165,-0.078,,,,,,,,,
0.719,1536834,196,-0.039,,,,,,,,,
0.759,1536873,235,0.001,,,,,,,,,
0.801,1536913,275,0.043,,,,,,,,,
0.847,1536948,310,0.089,,,,,,,,,
0.891,1536955,317,0.133,,,,,,,,,
0.937,1536958,320,0.179,,,,,,,,,
0.975,1536970,332,0.217,,,,,,,,,
1.01,1536986,348,0.252,,,,,,,,,
1.046,1536996,358,0.288,,,,,,,,,
1.081,1536992,354,0.323,,,,,,,,,
1.108,1536981,343,0.35,,,,,,,,,
1.122,1536961,323,0.364,,,,,,,,,
1.139,1536936,298,0.381,,,,,,,,,
1.155,1536907,269,0.397,,,,,,,,,
1.162,1536875,237,0.404,,,,,,,,,
1.16,1536837,199,0.402,,,,,,,,,
1.149,1536795,157,0.391,,,,,,,,,
1.134,1536747,109,0.376,,,,,,,,,
1.112,1536691,53,0.354,,,,,,,,,
1.085,1536635,-3,0.327,,,,,,,,,
1.044,1536580,-58,0.286,,,,,,,,,
1.002,1536524,-114,0.244,,,,,,,,,
0.954,1536471,-167,0.196,,,,,,,,,
0.904,1536424,-214,0.146,,,,,,,,,
0.847,1536380,-258,0.089,,,,,,,,,
0.788,1536340,-298,0.03,,,,,,,,,
0.735,1536307,-331,-0.023,,,,,,,,,
0.682,1536284,-354,-0.076,,,,,,,,,
0.632,1536268,-370,-0.126,,,,,,,,,
0.585,1536261,-377,-0.173,,,,,,,,,
0.543,1536262,-376,-0.215,,,,,,,,,
0.506,1536269,-369,-0.252,,,,,,,,,
0.473,1536280,-358,-0.285,,,,,,,,,
0.444,1536295,-343,-0.314,,,,,,,,,
0.422,1536313,-325,-0.336,,,,,,,,,
0.4,1536336,-302,-0.358,,,,,,,,,
0.387,1536363,-275,-0.371,,,,,,,,,
0.384,1536389,-249,-0.374,,,,,,,,,
0.392,1536416,-222,-0.366,,,,,,,,,
0.398,1536443,-195,-0.36,,,,,,,,,
0.411,1536474,-164,-0.347,,,,,,,,,
0.421,1536508,-130,-0.337,,,,,,,,,
0.445,1536546,-92,-0.313,,,,,,,,,
0.467,1536586,-52,-0.291,,,,,,,,,
0.503,1536628,-10,-0.255,,,,,,,,,
0.533,1536668,30,-0.225,,,,,,,,,
0.569,1536702,64,-0.189,,,,,,,,,
0.605,1536736,98,-0.153,,,,,,,,,
0.638,1536767,129,-0.12,,,,,,,,,
0.674,1536800,162,-0.084,,,,,,,,,
0.708,1536836,198,-0.05,,,,,,,,,
0.747,1536873,235,-0.011,,,,,,,,,
0.783,1536906,268,0.025,,,,,,,,,
0.823,1536932,294,0.065,,,,,,,,,
0.864,1536951,313,0.106,,,,,,,,,
0.907,1536962,324,0.149,,,,,,,,,
0.944,1536972,334,0.186,,,,,,,,,
0.978,1536979,341,0.22,,,,,,,,,
1.011,1536985,347,0.253,,,,,,,,,
1.044,1536984,346,0.286,,,,,,,,,
1.073,1536972,334,0.315,,,,,,,,,
1.095,1536950,312,0.337,,,,,,,,,
1.108,1536921,283,0.35,,,,,,,,,
1.122,1536890,252,0.364,,,,,,,,,
1.131,1536859,221,0.373,,,,,,,,,
1.135,1536826,188,0.377,,,,,,,,,
1.123,1536791,153,0.365,,,,,,,,,
1.11,1536747,109,0.352,,,,,,,,,
1.09,1536695,57,0.332,,,,,,,,,
1.07,1536643,5,0.312,,,,,,,,,
1.034,1536591,-47,0.276,,,,,,,,,
0.993,1536539,-99,0.235,,,,,,,,,
0.948,1536493,-145,0.19,,,,,,,,,
0.902,1536451,-187,0.144,,,,,,,,,
0.856,1536412,-226,0.098,,,,,,,,,
0.801,1536377,-261,0.043,,,,,,,,,
0.747,1536344,-294,-0.011,,,,,,,,,
0.695,1536318,-320,-0.063,,,,,,,,,
0.651,1536302,-336,-0.107,,,,,,,,,
0.608,1536295,-343,-0.15,,,,,,,,,
0.567,1536296,-342,-0.191,,,,,,,,,
0.531,1536305,-333,-0.227,,,,,,,,,
0.5,1536314,-324,-0.258,,,,,,,,,
0.474,1536330,-308,-0.284,,,,,,,,,
0.454,1536346,-292,-0.304,,,,,,,,,
0.437,1536364,-274,-0.321,,,,,,,,,
0.427,1536384,-254,-0.331,,,,,,,,,
0.419,1536406,-232,-0.339,,,,,,,,,
0.419,1536429,-209,-0.339,,,,,,,,,
0.431,1536455,-183,-0.327,,,,,,,,,
0.438,1536480,-158,-0.32,,,,,,,,,
0.448,1536509,-129,-0.31,,,,,,,,,
0.463,1536542,-96,-0.295,,,,,,,,,
0.488,1536577,-61,-0.27,,,,,,,,,
0.513,1536614,-24,-0.245,,,,,,,,,
0.548,1536651,13,-0.21,,,,,,,,,
0.574,1536685,47,-0.184,,,,,,,,,
0.607,1536717,79,-0.151,,,,,,,,,
0.638,1536747,109,-0.12,,,,,,,,,
0.672,1536779,141,-0.086,,,,,,,,,
0.701,1536810,172,-0.057,,,,,,,,,
0.739,1536845,207,-0.019,,,,,,,,,
0.769,1536877,239,0.011,,,,,,,,,
0.806,1536904,266,0.048,,,,,,,,,
0.841,1536922,284,0.083,,,,,,,,,
0.882,1536937,299,0.124,,,,,,,,,
0.917,1536946,308,0.159,,,,,,,,,
0.952,1536954,316,0.194,,,,,,,,,
0.98,1536958,320,0.222,,,,,,,,,
1.014,1536959,321,0.256,,,,,,,,,
1.041,1536952,314,0.283,,,,,,,,,
1.066,1536934,296,0.308,,,,,,,,,
1.079,1536907,269,0.321,,,,,,,,,
1.093,1536877,239,0.335,,,,,,,,,
1.102,1536847,209,0.344,,,,,,,,,
1.106,1536814,176,0.348,,,,,,,,,
1.101,1536781,143,0.343,,,,,,,,,
1.087,1536743,105,0.329,,,,,,,,,
1.07,1536697,59,0.312,,,,,,,,,
1.049,1536650,12,0.291,,,,,,,,,
1.024,1536602,-36,0.266,,,,,,,,,
0.983,1536554,-84,0.225,,,,,,,,,
0.942,1536512,-126,0.184,,,,,,,,,
0.898,1536470,-168,0.14,,,,,,,,,
0.858,1536435,-203,0.1,,,,,,,,,
0.81,1536404,-234,0.052,,,,,,,,,
0.758,1536376,-262,0,,,,,,,,,
0.707,1536354,-284,-0.051,,,,,,,,,
0.666,1536338,-300,-0.092,,,,,,,,,
0.627,1536331,-307,-0.131,,,,,,,,,
0.591,1536331,-307,-0.167,,,,,,,,,
0.553,1536335,-303,-0.205,,,,,,,,,
0.523,1536345,-293,-0.235,,,,,,,,,
0.5,1536357,-281,-0.258,,,,,,,,,
0.483,1536372,-266,-0.275,,,,,,,,,
0.467,1536387,-251,-0.291,,,,,,,,,
0.453,1536406,-232,-0.305,,,,,,,,,
0.453,1536425,-213,-0.305,,,,,,,,,
0.45,1536446,-192,-0.308,,,,,,,,,
0.456,1536466,-172,-0.302,,,,,,,,,
0.464,1536487,-151,-0.294,,,,,,,,,
0.477,1536512,-126,-0.281,,,,,,,,,
0.489,1536540,-98,-0.269,,,,,,,,,
0.508,1536572,-66,-0.25,,,,,,,,,
0.527,1536607,-31,-0.231,,,,,,,,,
0.558,1536640,2,-0.2,,,,,,,,,
0.584,1536673,35,-0.174,,,,,,,,,
0.613,1536700,62,-0.145,,,,,,,,,
0.642,1536728,90,-0.116,,,,,,,,,
0.67,1536758,120,-0.088,,,,,,,,,
0.699,1536788,150,-0.059,,,,,,,,,
0.73,1536820,182,-0.028,,,,,,,,,
0.76,1536853,215,0.002,,,,,,,,,
0.791,1536879,241,0.033,,,,,,,,,
0.825,1536899,261,0.067,,,,,,,,,
0.86,1536913,275,0.102,,,,,,,,,
0.896,1536924,286,0.138,,,,,,,,,
0.929,1536930,292,0.171,,,,,,,,,
0.958,1536936,298,0.2,,,,,,,,,
0.986,1536940,302,0.228,,,,,,,,,
1.013,1536933,295,0.255,,,,,,,,,
1.037,1536918,280,0.279,,,,,,,,,
1.055,1536894,256,0.297,,,,,,,,,
1.064,1536864,226,0.306,,,,,,,,,
1.074,1536835,197,0.316,,,,,,,,,
1.079,1536804,166,0.321,,,,,,,,,
1.077,1536774,136,0.319,,,,,,,,,
1.065,1536739,101,0.307,,,,,,,,,
1.05,1536698,60,0.292,,,,,,,,,
1.029,1536655,17,0.271,,,,,,,,,
1.008,1536610,-28,0.25,,,,,,,,,
0.975,1536565,-73,0.217,,,,,,,,,
0.938,1536525,-113,0.18,,,,,,,,,
0.896,1536487,-151,0.138,,,,,,,,,
0.857,1536456,-182,0.099,,,,,,,,,
0.814,1536428,-210,0.056,,,,,,,,,
0.767,1536403,-235,0.009,,,,,,,,,
0.717,1536383,-255,-0.041,,,,,,,,,
0.676,1536369,-269,-0.082,,,,,,,,,
0.64,1536362,-276,-0.118,,,,,,,,,
0.609,1536361,-277,-0.149,,,,,,,,,
0.575,1536365,-273,-0.183,,,,,,,,,
0.545,1536373,-265,-0.213,,,,,,,,,
0.522,1536383,-255,-0.236,,,,,,,,,
0.507,1536395,-243,-0.251,,,,,,,,,
0.493,1536410,-228,-0.265,,,,,,,,,
0.483,1536427,-211,-0.275,,,,,,,,,
0.48,1536445,-193,-0.278,,,,,,,,,
0.478,1536465,-173,-0.28,,,,,,,,,
0.482,1536482,-156,-0.276,,,,,,,,,
0.494,1536499,-139,-0.264,,,,,,,,,
0.5,1536519,-119,-0.258,,,,,,,,,
0.509,1536540,-98,-0.249,,,,,,,,,
0.525,1536566,-72,-0.233,,,,,,,,,
0.546,1536598,-40,-0.212,,,,,,,,,
0.569,1536631,-7,-0.189,,,,,,,,,
0.596,1536661,23,-0.162,,,,,,,,,
0.617,1536690,52,-0.141,,,,,,,,,
0.643,1536715,77,-0.115,,,,,,,,,
0.671,1536741,103,-0.087,,,,,,,,,
0.702,1536769,131,-0.056,,,,,,,,,
0.725,1536799,161,-0.033,,,,,,,,,
